antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,algorithm,context,context_n,support_count,rule_str,normalized_rule
"frozenset({'burden_20_to_35pct', 'external_score_weak'})",frozenset({'credit_large'}),0.09365763287532806,0.3220389889264712,0.03661422295827427,0.3909368818557813,1.2139427066237656,1.0,0.006452813561856986,1.11312110498373,0.19444958203827378,0.09658644946316178,0.10162515514013491,0.252315941102216,fpgrowth,Portfolio-wide,356255,13044,"{burden_20_to_35pct, external_score_weak} -> {credit_large}","{burden_20_to_35pct, external_score_weak} -> {credit_large}"
"frozenset({'external_score_weak', 'credit_large'})",frozenset({'burden_20_to_35pct'}),0.08309778108377426,0.2896268122552666,0.03661422295827427,0.44061613295500607,1.5213236976370232,1.0,0.012546877517494736,1.269920763888592,0.3737341754175393,0.108935118296991,0.21254929564430042,0.2835173782694027,fpgrowth,Portfolio-wide,356255,13044,"{credit_large, external_score_weak} -> {burden_20_to_35pct}","{credit_large, external_score_weak} -> {burden_20_to_35pct}"
frozenset({'previous_deep'}),frozenset({'card_utilisation_moderate'}),0.3972912660874935,0.25667850275785603,0.16650713674194045,0.41910595815935053,1.63280506024583,1.0,0.06453100940382964,1.279616321914439,0.643025388994548,0.3415792837770138,0.21851575126527278,0.5339025739092412,fpgrowth,Portfolio-wide,356255,59319,{previous_deep} -> {card_utilisation_moderate},{previous_deep} -> {card_utilisation_moderate}
frozenset({'card_utilisation_moderate'}),frozenset({'previous_deep'}),0.25667850275785603,0.3972912660874935,0.16650713674194045,0.6486991896591319,1.63280506024583,1.0,0.06453100940382964,1.715648572878886,0.5213854563770953,0.3415792837770138,0.4171300487710114,0.5339025739092412,fpgrowth,Portfolio-wide,356255,59319,{card_utilisation_moderate} -> {previous_deep},{card_utilisation_moderate} -> {previous_deep}
frozenset({'card_utilisation_moderate'}),frozenset({'repayment_some_late'}),0.25667850275785603,0.44470674095802165,0.14868282550420345,0.5792570235009787,1.3025595749978929,1.0,0.03453616506877272,1.3197921060086195,0.3124903516489039,0.26901062959934585,0.24230490889640988,0.4567980324821736,fpgrowth,Portfolio-wide,356255,52969,{card_utilisation_moderate} -> {repayment_some_late},{card_utilisation_moderate} -> {repayment_some_late}
"frozenset({'previous_deep', 'burden_under_20pct'})",frozenset({'card_utilisation_moderate'}),0.2761673520371644,0.25667850275785603,0.11607416036266158,0.42030370174618337,1.637471378515431,1.0,0.04518793793116048,1.2822602101845493,0.5378346831284738,0.2785077823501283,0.22012709116500215,0.4362599181937177,fpgrowth,Portfolio-wide,356255,41352,"{burden_under_20pct, previous_deep} -> {card_utilisation_moderate}","{burden_under_20pct, previous_deep} -> {card_utilisation_moderate}"
"frozenset({'card_utilisation_moderate', 'burden_under_20pct'})",frozenset({'previous_deep'}),0.17424316851693308,0.3972912660874935,0.11607416036266158,0.6661619009262989,1.676759490553697,1.0,0.04684887133547275,1.8053923011928221,0.48877772582845064,0.2548502403549859,0.4461037640742677,0.47916289370060683,fpgrowth,Portfolio-wide,356255,41352,"{burden_under_20pct, card_utilisation_moderate} -> {previous_deep}","{burden_under_20pct, card_utilisation_moderate} -> {previous_deep}"
"frozenset({'leverage_under_3x', 'previous_deep'})",frozenset({'card_utilisation_moderate'}),0.2024168081851483,0.25667850275785603,0.07989782599542462,0.3947193254936765,1.537796586985879,1.0,0.027941782737436624,1.2280608460668414,0.4384733029854175,0.21070241540887252,0.18570809972263236,0.3529976011346864,fpgrowth,Portfolio-wide,356255,28464,"{leverage_under_3x, previous_deep} -> {card_utilisation_moderate}","{leverage_under_3x, previous_deep} -> {card_utilisation_moderate}"
"frozenset({'leverage_under_3x', 'card_utilisation_moderate'})",frozenset({'previous_deep'}),0.11758150762796311,0.3972912660874935,0.07989782599542462,0.6795101339253742,1.710357593855912,1.0,0.033183719961434884,1.8805859333229784,0.4706689040660107,0.18368374182057537,0.4682508348698487,0.4403082791969439,fpgrowth,Portfolio-wide,356255,28464,"{card_utilisation_moderate, leverage_under_3x} -> {previous_deep}","{card_utilisation_moderate, leverage_under_3x} -> {previous_deep}"
"frozenset({'leverage_under_3x', 'card_utilisation_moderate'})",frozenset({'burden_under_20pct'}),0.11758150762796311,0.6564820142875187,0.10799567725365258,0.9184750173076465,1.3990863379623115,1.0,0.03080553228308411,4.2136529732094115,0.3232568556314759,0.16213915462092798,0.7626762321534205,0.5414908491134705,fpgrowth,Portfolio-wide,356255,38474,"{card_utilisation_moderate, leverage_under_3x} -> {burden_under_20pct}","{card_utilisation_moderate, leverage_under_3x} -> {burden_under_20pct}"
"frozenset({'card_utilisation_moderate', 'burden_under_20pct'})",frozenset({'leverage_under_3x'}),0.17424316851693308,0.47446632327967325,0.10799567725365258,0.6197986306886831,1.3063068974093321,1.0,0.02532316173082283,1.3822508784549081,0.28396144733748335,0.1997279787366585,0.27654232991495115,0.4237068417744047,fpgrowth,Portfolio-wide,356255,38474,"{burden_under_20pct, card_utilisation_moderate} -> {leverage_under_3x}","{burden_under_20pct, card_utilisation_moderate} -> {leverage_under_3x}"
"frozenset({'leverage_under_3x', 'card_utilisation_moderate'})",frozenset({'repayment_some_late'}),0.11758150762796311,0.44470674095802165,0.06964393482196742,0.5923034686910645,1.3318967628308909,1.0,0.017354645767805175,1.3620259590121464,0.2823955523023316,0.14136758078025377,0.2657996028759374,0.3744549490347622,fpgrowth,Portfolio-wide,356255,24811,"{card_utilisation_moderate, leverage_under_3x} -> {repayment_some_late}","{card_utilisation_moderate, leverage_under_3x} -> {repayment_some_late}"
"frozenset({'previous_deep', 'previous_outcome_mixed'})",frozenset({'card_utilisation_moderate'}),0.17967467123268446,0.25667850275785603,0.07518771666362577,0.4184658647086392,1.6303113046572866,1.0,0.029069091068110293,1.2782078508078023,0.4713010801071098,0.20818080782174136,0.2176546252880393,0.35569575618993304,fpgrowth,Portfolio-wide,356255,26786,"{previous_deep, previous_outcome_mixed} -> {card_utilisation_moderate}","{previous_deep, previous_outcome_mixed} -> {card_utilisation_moderate}"
